pid,interface,clip,label,position,listened_ms,liked,taste_match,relevance,replay,save,eval_composite,extraversion,agreeableness,conscientiousness,emot_stability,openness,rec_trust_reliance,openness_c,agreeableness_c,conscientiousness_c,emot_stability_c,extraversion_c,rec_trust_reliance_c,agr_group
R_3MaJxQQT43UtUou,AppleMusic-style,clip5,Recommended,1,31681,6,6,5,5,4,5.2,3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_3MaJxQQT43UtUou,AppleMusic-style,clip6,New,3,31762,6,6,6,6,5,5.8,3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_8zHF2bK5Ql2wFbn,Spotify-style,clip1,New,1,NA,5,2,2,2,2,2.6,5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357,Low agreeableness
R_8zHF2bK5Ql2wFbn,Spotify-style,clip2,Recommended,3,NA,1,1,1,1,1,1,5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357,Low agreeableness
R_8zHF2bK5Ql2wFbn,Spotify-style,clip3,Recommended,2,NA,6,2,2,2,2,2.8,5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357,Low agreeableness
R_8zHF2bK5Ql2wFbn,Spotify-style,clip4,None,6,NA,5,2,2,3,1,2.6,5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357,Low agreeableness
R_8zHF2bK5Ql2wFbn,Spotify-style,clip5,New,4,NA,2,2,2,1,1,1.6,5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357,Low agreeableness
R_8zHF2bK5Ql2wFbn,Spotify-style,clip6,None,5,NA,2,2,2,2,2,2,5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357,Low agreeableness
R_2MMXF0PXZWSNQn6,AppleMusic-style,clip1,None,2,31931,5,5,4,5,5,4.8,4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357,Low agreeableness
R_2MMXF0PXZWSNQn6,AppleMusic-style,clip2,New,5,31914,5,5,5,5,5,5,4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357,Low agreeableness
R_2MMXF0PXZWSNQn6,AppleMusic-style,clip3,New,4,31861,6,6,5,6,5,5.6,4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357,Low agreeableness
R_2MMXF0PXZWSNQn6,AppleMusic-style,clip4,Recommended,1,31902,5,5,3,5,4,4.4,4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357,Low agreeableness
R_2MMXF0PXZWSNQn6,AppleMusic-style,clip5,Recommended,6,32048,3,3,3,2,3,2.8,4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357,Low agreeableness
R_2MMXF0PXZWSNQn6,AppleMusic-style,clip6,None,3,31844,5,5,4,5,4,4.6,4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357,Low agreeableness
R_8Yvz8093KSWGcV3,Spotify-style,clip1,None,5,6683,5,5,4,5,4,4.6,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336,Low agreeableness
R_8Yvz8093KSWGcV3,Spotify-style,clip2,Recommended,2,7315,5,5,5,4,5,4.8,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336,Low agreeableness
R_8Yvz8093KSWGcV3,Spotify-style,clip3,Recommended,1,6563,5,4,4,4,4,4.2,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336,Low agreeableness
R_8Yvz8093KSWGcV3,Spotify-style,clip4,New,3,7659,5,3,4,3,4,3.8,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336,Low agreeableness
R_8Yvz8093KSWGcV3,Spotify-style,clip5,None,4,7538,5,6,5,4,4,4.8,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336,Low agreeableness
R_8Yvz8093KSWGcV3,Spotify-style,clip6,New,6,5570,4,4,3,2,2,3,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336,Low agreeableness
R_2HwUd3veqJE8vwR,Neutral,clip1,None,2,28984,5,3,2,6,5,4.2,3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357,Low agreeableness
R_2HwUd3veqJE8vwR,Neutral,clip2,Recommended,4,4613,1,1,1,1,1,1,3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357,Low agreeableness
R_2HwUd3veqJE8vwR,Neutral,clip3,Recommended,1,31688,2,2,1,1,1,1.4,3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357,Low agreeableness
R_2HwUd3veqJE8vwR,Neutral,clip4,New,6,1596,5,3,3,6,1,3.6,3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357,Low agreeableness
R_2HwUd3veqJE8vwR,Neutral,clip5,New,3,9530,1,1,1,1,1,1,3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357,Low agreeableness
R_2HwUd3veqJE8vwR,Neutral,clip6,None,5,6771,5,5,5,6,5,5.2,3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357,Low agreeableness
R_8rpYJpb7VIBHtbU,Spotify-style,clip1,New,6,31662,2,3,2,1,1,1.8,7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664,High agreeableness
R_8rpYJpb7VIBHtbU,Spotify-style,clip2,None,2,31662,5,3,4,3,2,3.4,7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664,High agreeableness
R_8rpYJpb7VIBHtbU,Spotify-style,clip3,Recommended,4,31669,6,2,2,6,6,4.4,7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664,High agreeableness
R_8rpYJpb7VIBHtbU,Spotify-style,clip4,None,1,31712,7,6,5,6,6,6,7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664,High agreeableness
R_8rpYJpb7VIBHtbU,Spotify-style,clip5,New,3,31658,4,2,2,2,1,2.2,7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664,High agreeableness
R_8rpYJpb7VIBHtbU,Spotify-style,clip6,Recommended,5,31658,1,2,2,1,1,1.4,7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664,High agreeableness
R_8kXFBTCYXougS2t,Neutral,clip1,None,5,31811,6,5,4,6,5,5.2,5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643,Low agreeableness
R_8kXFBTCYXougS2t,Neutral,clip2,New,3,31815,4,4,3,2,2,3,5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643,Low agreeableness
R_8kXFBTCYXougS2t,Neutral,clip3,New,2,31824,5,5,2,5,4,4.2,5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643,Low agreeableness
R_8kXFBTCYXougS2t,Neutral,clip4,None,1,31888,6,6,4,7,6,5.8,5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643,Low agreeableness
R_8kXFBTCYXougS2t,Neutral,clip5,Recommended,4,31845,6,6,6,7,7,6.4,5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643,Low agreeableness
R_8kXFBTCYXougS2t,Neutral,clip6,Recommended,6,31806,4,3,3,4,2,3.2,5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643,Low agreeableness
R_87CpChAubnq2qnA,AppleMusic-style,clip1,Recommended,6,28502,5,4,3,4,2,3.6,5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336,High agreeableness
R_87CpChAubnq2qnA,AppleMusic-style,clip2,New,4,24804,5,5,3,4,3,4,5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336,High agreeableness
R_87CpChAubnq2qnA,AppleMusic-style,clip3,None,3,24556,5,4,2,3,2,3.2,5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336,High agreeableness
R_87CpChAubnq2qnA,AppleMusic-style,clip4,New,2,9967,2,2,2,2,2,2,5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336,High agreeableness
R_87CpChAubnq2qnA,AppleMusic-style,clip5,None,1,31967,5,5,2,3,3,3.6,5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336,High agreeableness
R_87CpChAubnq2qnA,AppleMusic-style,clip6,Recommended,5,29972,5,4,3,4,3,3.8,5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336,High agreeableness
R_2WZnxHBrzfZPUzN,Spotify-style,clip1,None,2,31763,5,5,3,4,4,4.2,5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357,High agreeableness
R_2WZnxHBrzfZPUzN,Spotify-style,clip2,Recommended,4,31724,5,5,3,4,4,4.2,5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357,High agreeableness
R_2WZnxHBrzfZPUzN,Spotify-style,clip3,New,6,31740,5,4,3,3,3,3.6,5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357,High agreeableness
R_2WZnxHBrzfZPUzN,Spotify-style,clip4,New,3,31677,4,3,3,2,1,2.6,5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357,High agreeableness
R_2WZnxHBrzfZPUzN,Spotify-style,clip5,None,1,31765,5,5,5,4,4,4.6,5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357,High agreeableness
R_2WZnxHBrzfZPUzN,Spotify-style,clip6,Recommended,5,31679,2,2,2,2,2,2,5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357,High agreeableness
R_86wgmUovCbSeZBn,Neutral,clip1,None,3,32224,3,3,3,3,3,3,6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664,High agreeableness
R_86wgmUovCbSeZBn,Neutral,clip2,New,6,31369,5,5,5,5,5,5,6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664,High agreeableness
R_86wgmUovCbSeZBn,Neutral,clip3,Recommended,1,31350,5,4,3,4,3,3.8,6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664,High agreeableness
R_86wgmUovCbSeZBn,Neutral,clip4,Recommended,5,31367,2,2,2,2,2,2,6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664,High agreeableness
R_86wgmUovCbSeZBn,Neutral,clip5,New,2,31370,3,3,3,3,3,3,6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664,High agreeableness
R_86wgmUovCbSeZBn,Neutral,clip6,None,4,31337,4,4,4,5,4,4.2,6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664,High agreeableness
R_2KwthiaeXJhg2on,Neutral,clip1,None,4,31500,5,3,3,4,2,3.4,3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_2KwthiaeXJhg2on,Neutral,clip2,New,5,31493,5,6,5,6,5,5.4,3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_2KwthiaeXJhg2on,Neutral,clip3,New,3,31497,5,5,5,4,3,4.4,3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_2KwthiaeXJhg2on,Neutral,clip4,Recommended,6,31481,6,4,4,4,3,4.2,3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_2KwthiaeXJhg2on,Neutral,clip5,None,1,31440,2,4,2,3,2,2.6,3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_2KwthiaeXJhg2on,Neutral,clip6,Recommended,2,31485,5,5,4,5,3,4.4,3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_8otp5F7ihnLbQ3f,Spotify-style,clip1,New,2,31903,7,6,2,6,6,5.4,5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357,Low agreeableness
R_8otp5F7ihnLbQ3f,Spotify-style,clip2,New,5,34112,2,2,1,2,2,1.8,5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357,Low agreeableness
R_8otp5F7ihnLbQ3f,Spotify-style,clip3,Recommended,4,33014,5,3,1,4,2,3,5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357,Low agreeableness
R_8otp5F7ihnLbQ3f,Spotify-style,clip4,Recommended,3,31907,7,6,1,7,7,5.6,5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357,Low agreeableness
R_8otp5F7ihnLbQ3f,Spotify-style,clip5,None,1,31788,7,7,2,7,7,6,5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357,Low agreeableness
R_8otp5F7ihnLbQ3f,Spotify-style,clip6,None,6,31912,5,5,1,5,6,4.4,5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357,Low agreeableness
R_8eDx8cebtElETcA,AppleMusic-style,clip1,Recommended,4,31847,2,2,2,2,1,1.8,6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664,Low agreeableness
R_8eDx8cebtElETcA,AppleMusic-style,clip2,New,2,40631,5,4,4,4,4,4.2,6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664,Low agreeableness
R_8eDx8cebtElETcA,AppleMusic-style,clip3,New,3,31911,3,3,2,2,2,2.4,6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664,Low agreeableness
R_8eDx8cebtElETcA,AppleMusic-style,clip4,None,1,31892,4,2,2,2,1,2.2,6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664,Low agreeableness
R_8eDx8cebtElETcA,AppleMusic-style,clip5,Recommended,5,22780,1,1,1,1,1,1,6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664,Low agreeableness
R_8eDx8cebtElETcA,AppleMusic-style,clip6,None,6,13641,2,2,2,2,2,2,6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664,Low agreeableness
R_2w6LjBbpkM00PCh,Spotify-style,clip1,Recommended,2,31658,5,3,2,3,2,3,4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336,High agreeableness
R_2w6LjBbpkM00PCh,Spotify-style,clip2,None,1,18823,3,2,2,2,1,2,4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336,High agreeableness
R_2w6LjBbpkM00PCh,Spotify-style,clip3,Recommended,4,21058,2,2,1,1,1,1.4,4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336,High agreeableness
R_2w6LjBbpkM00PCh,Spotify-style,clip4,New,3,11070,2,1,1,2,1,1.4,4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336,High agreeableness
R_2w6LjBbpkM00PCh,Spotify-style,clip5,New,6,21889,1,1,1,2,1,1.2,4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336,High agreeableness
R_2w6LjBbpkM00PCh,Spotify-style,clip6,None,5,29883,2,1,1,2,1,1.4,4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336,High agreeableness
R_2DTJ4aDn0eXrEPt,Neutral,clip1,None,1,31666,5,4,4,4,2,3.8,6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336,High agreeableness
R_2DTJ4aDn0eXrEPt,Neutral,clip2,New,4,31667,4,4,3,2,2,3,6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336,High agreeableness
R_2DTJ4aDn0eXrEPt,Neutral,clip3,Recommended,2,31678,4,4,2,2,2,2.8,6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336,High agreeableness
R_2DTJ4aDn0eXrEPt,Neutral,clip4,None,6,31678,5,2,2,4,2,3,6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336,High agreeableness
R_2DTJ4aDn0eXrEPt,Neutral,clip5,New,3,31672,4,3,2,4,2,3,6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336,High agreeableness
R_2DTJ4aDn0eXrEPt,Neutral,clip6,Recommended,5,31682,2,2,2,2,2,2,6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336,High agreeableness
R_5Y9CAMc6uLS3iTf,AppleMusic-style,clip1,New,1,31717,4,2,2,4,2,2.8,1.5,5,5,2,4.5,5,-0.5916666666666668,0.38333333333333375,-0.2999999999999998,-2.8833333333333337,-2.5875000000000004,0.03541666666666643,High agreeableness
R_5Y9CAMc6uLS3iTf,AppleMusic-style,clip2,None,4,31695,6,6,6,6,6,6,1.5,5,5,2,4.5,5,-0.5916666666666668,0.38333333333333375,-0.2999999999999998,-2.8833333333333337,-2.5875000000000004,0.03541666666666643,High agreeableness
